ID,Name,Owner,Dine_Type,Mailing_Address,Billing_Address,Postal_Code,Phone_1,Phone_2,Email,Website,Business_Operation_Year,Business_Owner_Year,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Guest_Capacity,Business_Start_Hour,Business_End_Hour,Franchise,Own_Lease,Income_052019_102019,Income_052020_102020,Income_052021_102021,Profit_052019_102019,Profit_052020_102020,Profit_052021_102021,Customers_Weekly_Before_Covid,Customers_Weekly_During_Covid,Customers_Weekly_During_Reopen,Helpfulness
14,24SEVEN LOUNGE,Delora Schultz,Restaurant,106 HUMBER COLLEGE BLVD,106 HUMBER COLLEGE BLVD,"NA",1865674786,1386195869,h@mjpackoyi.qxp,"NA",1-5 years,6-10 years,7,7,4,13,9,6,N,N,Y,N,Greek,N,Average,147,9,19,Y,Lease,985444,749152,4999760,37804,22555,12792,312,315,32,1
15,254 BASEMENT,Lakesha Lubowitz,Restaurant,254 LANSDOWNE AVE,254 LANSDOWNE AVE,"NA",1491796538,5816427463,za@i.wnx,"NA",11-20 years,1-5 years,18,2,13,26,23,35,Y,Y,Y,N,American,N,Low-end,67,10,17,N,Lease,3965767,963119,4848877,35877,11196,17853,327,155,217,1
16,3 BRASSEURS,Deidre Haley,Restaurant,2 LIBERTY ST,2 LIBERTY ST,"NA",3981799321,3595626843,vckjrlwfeg@becxoszy.gho,"NA",6-10 years,Under 1 year,11,21,25,31,38,27,N,N,N,N,American,N,Average,76,9,21,N,Own,981835,235611,2757206,37959,11423,37745,117,179,145,3
17,3 EGGS ALL DAY PUB & GRILL,Brandee Mayer,Restaurant,936 EGLINTON AVE W,936 EGLINTON AVE W,"NA",5698192947,2811277285,amlrbfgeuq@ru.nyj,"NA",1-5 years,Under 1 year,23,10,1,25,1,8,Y,Y,N,N,Chinese,N,Average,90,11,19,N,Own,4758844,890152,1061945,19639,11578,30772,180,60,323,4
18,3030,Gertrude Graham,Restaurant,3030 DUNDAS ST W,3030 DUNDAS ST W,"NA",8643214583,3654899147,v@fshtu.ewk,"NA",1-5 years,Under 1 year,6,24,13,37,38,5,N,N,Y,N,Others,Y,Low-end,81,12,18,Y,"Lease, want to purchase",570779,542396,331524,842,5432,1468,307,114,454,3
19,32 CHICKEN ST,Blondell Lubowitz,Restaurant,409 COLLEGE ST,409 COLLEGE ST,"NA",2983547192,5799631832,eafxwyj@zfrxecpdua.ofl,"NA",Over 20 years,1-5 years,21,3,7,19,22,29,N,N,N,N,Mexican,Y,Average,58,10,17,Y,Lease,2082929,339164,2196803,3148,18595,19896,265,84,238,1
20,360 RESTAURANT,Noah Klocko,Restaurant,"301 FRONT ST W, CN TOWER","301 FRONT ST W, CN TOWER","NA",2436973791,6255939845,plbnaoqs@dvu.aeb,"NA",11-20 years,6-10 years,10,13,22,30,16,19,Y,Y,N,N,Indian,N,Average,15,12,22,N,Lease,1274225,442972,1725950,32125,11889,17344,169,397,382,4
21,365 BAR & GRILL,Delphine Jewess,Restaurant,210 MARKHAM RD,210 MARKHAM RD,"NA",7492716759,6328173241,hgduzxmab@yeoxf.arc,"NA",11-20 years,Over 20 years,7,22,24,35,36,34,N,N,Y,N,Vietnamese,N,Low-end,88,10,17,N,Lease,1998007,409212,3632960,5565,11180,17519,389,449,358,4
22,369 MAZEL,Enoch Ryan,Restaurant,2326 DANFORTH AVE,2326 DANFORTH AVE,"NA",8469722748,3944681724,dz@mujyc.ojp,"NA",Under 1 year,6-10 years,14,16,22,16,25,30,Y,Y,N,N,Greek,Y,Low-end,94,9,17,N,Lease,4905063,107679,2026750,19097,5200,13072,136,137,113,2
23,416 SNACK BAR,Justin Quitzon,Restaurant,181 BATHURST ST,181 BATHURST ST,"NA",7294965231,8722831274,szxreh@cwx.und,"NA",Over 20 years,1-5 years,28,17,25,25,12,18,Y,Y,N,N,Thai,N,Low-end,33,9,18,N,Lease,4039731,774062,4972825,21288,6764,14993,410,12,122,4
24,4C BROAST CHICKEN COFFEE AND COLD CORNER,Jordan Wolff,Restaurant,3879 LAWRENCE AVE E,3879 LAWRENCE AVE E,"NA",8393618912,5646386954,vymngpjce@wyazl.zeb,"NA",1-5 years,Over 20 years,7,12,13,21,32,2,Y,N,N,Y,Chinese,N,High-end,12,10,22,N,Lease,4348053,636465,3298562,7183,4467,1881,113,378,339,2
25,4C Broast Chicken,Douglas Hyatt,Restaurant,1758 LAWRENCE AVE E,1758 LAWRENCE AVE E,"NA",9577699746,6135965712,nwdrxu@shd.pec,"NA",1-5 years,11-20 years,27,24,2,25,3,26,N,Y,N,N,Japanese,N,High-end,93,12,20,N,Lease,4806163,865176,1197471,29424,16080,38781,466,278,0,4
26,4C Broast Chicken,Dale Mayer,Restaurant,1093 O'CONNOR DR,1093 O'CONNOR DR,"NA",9723196782,2168153867,tncrxmlv@te.nzg,"NA",1-5 years,Over 20 years,24,10,5,19,13,27,Y,N,Y,N,Vietnamese,Y,Average,117,12,20,N,"Lease, want to purchase",4662915,570681,4766748,15681,22662,24251,193,108,490,2
27,5  POINTS BAR & GRILL,Lucio Ryan,Restaurant,636 VAUGHAN RD,636 VAUGHAN RD,"NA",5988528973,5912359725,tsmrz@cnfk.hna,"NA",6-10 years,Over 20 years,28,11,27,32,21,20,N,N,Y,N,Italian,N,Average,8,11,20,Y,Own,4522108,600456,2370791,39357,4569,23401,342,35,115,2
28,5 ELEMENTS ESPRESSO BAR,Silva Boehm,Restaurant,131 AVENUE RD,131 AVENUE RD,"NA",4913285486,7134563742,pkb@qo.wok,"NA",1-5 years,1-5 years,22,4,11,8,1,31,Y,Y,N,Y,Thai,Y,Low-end,142,9,20,Y,Own,4711453,66695,3409594,13039,22658,13575,138,492,414,4
29,5 SPICE DINING,Donald Stiedemann,Restaurant,2826 MARKHAM RD,2826 MARKHAM RD,"NA",6178397561,6956298267,az@ktj.ezg,"NA",6-10 years,Under 1 year,14,20,25,34,28,20,Y,N,N,N,Greek,N,Average,53,9,20,N,"Lease, want to purchase",2881453,944416,2643804,5955,7923,20013,57,115,374,2
30,521 CAFE,Lenard Schiller,Restaurant,521 DANFORTH AVE,521 DANFORTH AVE,"NA",5428297561,6172959514,k@iwsxa.nxp,"NA",1-5 years,Over 20 years,9,3,22,13,1,24,Y,Y,Y,N,Mediterranean,Y,Average,35,10,22,Y,Own,573798,215284,2179234,9980,13102,31572,274,131,179,1
31,588,Cierra Padberg,Restaurant,588 COLLEGE ST,588 COLLEGE ST,"NA",7835476951,9588121526,twoyjmvinl@depjzmunvr.zly,"NA",11-20 years,1-5 years,27,10,24,21,35,35,Y,N,N,N,Italian,N,Average,46,10,20,N,Own,4007081,726025,1767958,23387,18304,30905,152,271,275,4
32,7 NUMBERS,Mohammed Prohaska,Restaurant,307 DANFORTH AVE,307 DANFORTH AVE,"NA",9731829745,2418393491,dzpfrge@tpqw.ifh,"NA",Under 1 year,1-5 years,14,21,1,20,18,29,Y,N,Y,N,American,N,Average,79,10,18,Y,Lease,3815681,942273,3534585,318,6493,12757,322,434,244,2
33,7 NUMBERS EGLINTON,Sol Bradtke,Restaurant,516 EGLINTON AVE W,516 EGLINTON AVE W,"NA",4253964796,5965737482,wtplxahso@b.sqe,"NA",Under 1 year,1-5 years,29,23,25,8,31,14,Y,Y,Y,N,Mexican,Y,High-end,19,9,21,N,Own,42617,490130,2049060,3507,7104,34035,346,82,261,4
34,7 WEST CAFE,Miles Brown,Restaurant,7 CHARLES ST W,7 CHARLES ST W,"NA",1474678564,9271635376,jfh@vmilahsonk.fsl,"NA",Over 20 years,1-5 years,9,6,9,21,1,31,Y,N,Y,N,Others,N,High-end,144,10,20,N,Lease,3274363,924914,2252011,7842,20979,21274,330,451,410,2
35,7-ELEVEN,Eli Stokes,Restaurant,328 YONGE ST,328 YONGE ST,"NA",4657195387,7284858243,jr@wg.uwt,"NA",1-5 years,1-5 years,11,21,26,30,17,18,Y,N,N,N,Greek,N,High-end,48,11,21,Y,Own,383179,1640,937302,38466,2347,26999,28,34,118,1
36,709 GREEK CAFE SHOP,Janise Pfannerstill,Restaurant,709 DANFORTH AVE,709 DANFORTH AVE,"NA",9783167582,1954972745,vrqsntgaku@byzufas.wfu,"NA",Under 1 year,Under 1 year,5,17,13,9,20,24,Y,N,Y,Y,Mediterranean,N,High-end,104,11,17,N,Own,2351142,270219,2988012,22506,23960,33315,97,412,294,2
37,8 Noodles/Eight Noodles,Tamra Kilback,Restaurant,3309 SHEPPARD AVE E,3309 SHEPPARD AVE E,"NA",7645923178,9284962983,nym@seakvlt.zxc,"NA",Under 1 year,11-20 years,25,21,16,13,28,19,N,N,Y,N,Vietnamese,N,Average,26,12,19,N,Own,1262861,445332,2287134,29949,18328,16038,150,6,153,4
38,817 SPORTS BAR & GRILL,Steven White,Restaurant,817 QUEEN ST W,817 QUEEN ST W,"NA",1825125981,1948466472,lab@gkie.bfj,"NA",6-10 years,Over 20 years,7,15,2,37,18,33,Y,N,Y,N,Japanese,Y,Low-end,55,9,17,N,Lease,670133,708958,3645489,6696,1505,13134,146,68,182,3
39,850 DEGREES,Inocencia Grant,Restaurant,3455 LAKE SHORE BLVD W,3455 LAKE SHORE BLVD W,"NA",4987938974,8638274378,fydlh@snrxw.jgz,"NA",11-20 years,Under 1 year,13,13,3,21,4,14,Y,Y,Y,N,Others,Y,Average,30,11,18,N,Lease,1396266,10540,1611724,15045,3520,775,460,127,345,3
40,876 JAMROCK RESTAURANT,Arlen Bauch,Restaurant,"6210 FINCH AVE W, Unit-101B","6210 FINCH AVE W, Unit-101B","NA",6726514867,7491926427,v@gjxp.fsq,"NA",6-10 years,1-5 years,29,2,8,15,28,9,Y,Y,Y,N,Others,Y,Average,54,10,18,N,Own,4534049,209743,2864048,21514,13852,17918,414,30,362,1
41,977 CAFE,Young Welch,Restaurant,977 O'CONNOR DR,977 O'CONNOR DR,"NA",2873122387,5264588159,lrjpyksn@jvbyxh.jne,"NA",11-20 years,Over 20 years,28,5,15,13,22,37,Y,Y,N,N,Chinese,Y,Low-end,31,9,22,N,Own,1162960,888576,754630,22975,24942,9306,408,368,38,3
42,98 AROMA,Loyce Hauck,Restaurant,440 SPADINA AVE,440 SPADINA AVE,"NA",2311652415,6922491549,abpeyc@f.oqj,"NA",Under 1 year,6-10 years,14,26,24,32,36,26,Y,Y,N,N,Mexican,N,Average,16,10,17,N,Lease,1486399,390418,1873706,25421,7686,27495,228,423,101,3
43,989 HAWAII BAR,Jamey McGlynn,Restaurant,989 DOVERCOURT RD,989 DOVERCOURT RD,"NA",2891342136,4131491723,t@lnzqmsxeg.hpy,"NA",Over 20 years,1-5 years,20,19,20,10,30,19,N,Y,Y,N,Greek,Y,Low-end,125,9,17,Y,Lease,3615525,759994,3666131,366,5227,11114,472,268,465,3
44,99 MYTHIC TASTE - NORTH YORK,Sherrie Haag,Restaurant,5418 YONGE ST,5418 YONGE ST,"NA",6739188967,6829645342,xj@uaxpm.ipw,"NA",11-20 years,Over 20 years,7,11,3,39,13,13,Y,Y,Y,N,American,Y,Average,14,12,20,Y,Own,235720,152085,738025,7292,9198,26372,346,343,319,1
45,99 SUSHI,Paul Rippin,Restaurant,170 EGLINTON AVE E,170 EGLINTON AVE E,"NA",9686757849,8958961358,tnzqmfraxs@qdyr.sta,"NA",1-5 years,Under 1 year,10,21,28,12,20,18,N,Y,N,N,Mexican,N,Average,75,10,22,N,Own,1516856,455459,1286267,29594,20350,9509,386,86,464,1
46,A & W,Harland Connelly,Restaurant,3214 LAKE SHORE BLVD W,3214 LAKE SHORE BLVD W,"NA",4899436928,4295277593,ujtefkld@ytuzi.uin,"NA",1-5 years,Under 1 year,6,28,6,36,31,26,Y,Y,N,N,Japanese,N,Low-end,83,10,17,Y,Own,2557297,429955,3949549,13956,5688,11831,103,347,197,1
47,A & W,Garret Wiegand,Restaurant,3571 SHEPPARD AVE E,3571 SHEPPARD AVE E,"NA",3589388923,3289766258,nxp@abd.fsa,"NA",Under 1 year,1-5 years,15,11,8,25,27,18,N,Y,N,N,Greek,Y,Low-end,43,11,22,Y,Lease,4456248,192808,3231018,17869,11914,28438,65,478,142,2
48,A & W,Fermin Schmeler,Restaurant,3318 KEELE ST,3318 KEELE ST,"NA",9763791596,4671575174,wcu@ntcuk.haf,"NA",6-10 years,6-10 years,26,29,29,39,23,35,Y,Y,Y,N,Indian,Y,High-end,140,11,22,N,Own,4090687,529144,1725044,35133,6538,28846,59,64,191,4
49,A & W,Elroy Turcotte,Restaurant,"355 CHURCH ST, Bldg-1","355 CHURCH ST, Bldg-1","NA",9632145328,7693786479,x@ivfgtnbr.req,"NA",6-10 years,Under 1 year,18,19,17,8,16,9,Y,Y,Y,N,Greek,Y,Average,85,11,17,N,Own,2863715,362952,671665,26778,974,14207,100,283,57,4
50,A & W,Jacob Schamberger,Restaurant,1896 EGLINTON AVE E,1896 EGLINTON AVE E,"NA",3814869241,3574185481,gdsj@okvjq.vtg,"NA",1-5 years,11-20 years,8,8,4,39,34,24,Y,N,N,N,Chinese,N,Low-end,70,12,19,N,Lease,491345,569646,1273175,1698,11679,35809,303,7,246,2
51,A & W,Errol Hudson,Restaurant,45 OVERLEA BLVD,45 OVERLEA BLVD,"NA",9835165731,9728144956,w@uxtkrbsoa.kfd,"NA",1-5 years,11-20 years,10,6,27,26,34,23,Y,N,Y,N,Vietnamese,Y,Low-end,58,9,20,Y,Lease,3190784,941859,1764373,14886,12860,21595,414,382,495,2
52,A & W,Claudio Tremblay,Restaurant,605 ROGERS RD,605 ROGERS RD,"NA",9516528421,2164734921,qxcyjz@ujr.jbi,"NA",1-5 years,1-5 years,16,21,29,21,21,12,Y,N,Y,N,Mediterranean,N,Average,7,11,19,N,Lease,1616759,765395,1120036,31676,6029,26465,57,175,435,2
53,A & W,Liza Bayer,Restaurant,665 MARKHAM RD,665 MARKHAM RD,"NA",8146138143,5832875396,im@wsxqlj.foq,"NA",6-10 years,Over 20 years,8,17,8,24,36,8,Y,N,N,N,Mexican,N,Average,126,9,22,N,Lease,3318486,442891,1282616,18114,13710,24647,123,393,155,3
54,A & W,Hilario Thiel,Restaurant,1 RICHMOND ST W,1 RICHMOND ST W,"NA",6983264631,2577141367,ckxyeh@azsn.gol,"NA",1-5 years,1-5 years,25,4,29,12,5,11,Y,Y,Y,N,Thai,N,Low-end,42,10,21,Y,Lease,4618649,92153,4032620,1907,15750,8799,75,461,235,1
55,A & W,Fidel Douglas,Restaurant,"2633 YONGE ST, Unit-2625","2633 YONGE ST, Unit-2625","NA",8328936724,9689366415,fkydbsn@ptdvamqlfe.ocd,"NA",Under 1 year,1-5 years,17,17,18,33,13,4,Y,Y,Y,N,Japanese,N,High-end,29,11,18,N,Own,4238228,928744,3576893,23117,17044,20026,206,345,23,3
56,A & W,Merrill Balistreri,Restaurant,85 DANFORTH AVE,85 DANFORTH AVE,"NA",2645322637,4582483942,dbygr@jtekgmin.vlf,"NA",Over 20 years,1-5 years,17,24,17,34,5,3,Y,N,Y,N,Mexican,N,High-end,49,10,17,N,Own,4377718,375663,2178901,25921,16152,25925,62,421,84,2
57,A & W,Kary O'Connell,Restaurant,"75 BILLY BISHOP WAY, Unit-B7","75 BILLY BISHOP WAY, Unit-B7","NA",4635828167,7165715248,uphwzkqgsc@elygfmzr.qld,"NA",Under 1 year,11-20 years,22,10,12,23,9,31,Y,Y,N,N,Mexican,N,High-end,107,11,22,N,Lease,2688579,281036,1150494,11076,24830,17410,445,409,153,1
58,A & W,Santiago Stracke,Restaurant,500 BLOOR ST W,500 BLOOR ST W,"NA",9566958639,5484675172,viqzme@feumqxoj.gct,"NA",1-5 years,Under 1 year,6,25,21,27,29,34,Y,N,Y,N,Mexican,N,Low-end,115,9,18,N,Lease,181232,655786,3811986,11989,14928,19411,133,14,116,3
59,A & W,Raymundo Bergnaum,Restaurant,"1496 QUEEN ST W, Bldg-MAIN","1496 QUEEN ST W, Bldg-MAIN","NA",3261262874,4198536529,tcykmnpger@dp.pec,"NA",11-20 years,1-5 years,13,9,5,33,3,31,Y,N,Y,N,Japanese,N,Average,138,10,20,N,Lease,1240125,929132,3433184,11177,15538,12315,431,124,113,4
60,A & W,Terrance Nitzsche,Restaurant,2856 DUNDAS ST W,2856 DUNDAS ST W,"NA",5296145814,8266495267,ylnx@asnlwikxp.ikt,"NA",Under 1 year,Under 1 year,25,28,3,21,30,6,Y,Y,N,N,Japanese,N,Low-end,5,9,20,N,Lease,3744335,259521,3396455,34318,9087,6787,455,324,130,1
61,A & W,Herschel Funk,Restaurant,650 1/2 QUEEN ST W,650 1/2 QUEEN ST W,"NA",9518758615,1973721742,kipgme@fmvykrpn.cqi,"NA",1-5 years,Under 1 year,8,13,3,11,15,10,N,Y,Y,N,Japanese,Y,Average,110,11,19,N,Lease,1787099,463777,4523040,39766,7206,34206,100,406,392,4
62,A & W,Jackie Blanda,Restaurant,3300 BLOOR ST W,3300 BLOOR ST W,"NA",7167641542,4351896374,q@iqcvrzgpmn.lbj,"NA",Under 1 year,Under 1 year,8,23,17,34,0,35,Y,N,Y,N,Greek,Y,Average,82,9,21,Y,Lease,1245313,973873,467570,4749,20105,22214,52,240,188,2
63,A & W,Hassan Schiller,Restaurant,8 MERCER ST,8 MERCER ST,"NA",6325372985,5397526843,sva@virsyduaxl.etv,"NA",1-5 years,1-5 years,16,19,18,21,4,38,Y,N,N,N,Greek,N,High-end,34,12,20,N,Lease,2136394,31797,176179,5572,19483,21628,473,110,74,3
64,A & W,Willia Koss,Restaurant,1638 AVENUE RD,1638 AVENUE RD,"NA",6793688125,3421983978,eduvb@zsngmeycj.dux,"NA",11-20 years,Over 20 years,21,12,9,9,15,19,Y,Y,N,N,Mexican,N,Average,107,9,22,N,Lease,1587994,26881,4257542,29759,23687,33981,9,438,406,2
65,A & W,Jutta Turner,Restaurant,832 COLLEGE ST,832 COLLEGE ST,"NA",9615395642,9524282467,qsio@qu.wlh,"NA",1-5 years,Under 1 year,6,7,20,39,12,2,Y,N,N,N,Chinese,N,Average,7,11,17,N,"Lease, want to purchase",4176970,506973,2069200,3755,21109,31386,290,137,150,4
66,A & W,Bobby Mueller,Restaurant,496 YONGE ST,496 YONGE ST,"NA",3871596283,6593542854,syrb@gu.tpi,"NA",Under 1 year,1-5 years,13,17,26,11,31,21,Y,N,Y,N,Japanese,N,Low-end,116,11,19,N,Own,2033682,77327,3041203,38793,3547,37595,78,88,72,3
67,A & W,Carmine White,Restaurant,654 DANFORTH AVE,654 DANFORTH AVE,"NA",9536855214,9627167489,vzlmutwr@ejgfa.jpm,"NA",Under 1 year,1-5 years,23,22,15,17,31,1,Y,Y,Y,N,Greek,Y,Average,88,9,18,Y,Lease,2834417,545450,4684053,16866,6536,2201,173,86,121,4
68,A & W,Noe Hayes,Restaurant,35 EGLINTON AVE E,35 EGLINTON AVE E,"NA",3718299765,3184817591,adiufrte@lerztjx.urz,"NA",1-5 years,6-10 years,7,4,20,18,32,27,Y,Y,N,N,Mexican,Y,Average,108,9,17,Y,Own,789871,248698,996707,19375,23724,35505,269,308,223,1
69,A & W,Mitchell Sanford,Restaurant,368 QUEEN ST W,368 QUEEN ST W,"NA",3571244328,9234759465,vgprlakemu@kqopnxu.wup,"NA",11-20 years,Under 1 year,13,21,11,32,3,18,Y,Y,N,N,Mediterranean,N,Low-end,131,9,22,N,Lease,3785556,761844,4078392,11255,10938,6495,232,31,447,4
70,A & W,Bradford Denesik,Restaurant,"1585 WARDEN AVE, Unit-4","1585 WARDEN AVE, Unit-4","NA",7594151795,9127622846,d@qbot.dby,"NA",1-5 years,Over 20 years,6,3,25,14,36,34,N,N,Y,N,Mediterranean,N,Low-end,52,11,19,N,Own,567655,856187,1114627,1498,16365,24267,381,265,219,2
71,A & W,Ricky Larkin,Restaurant,"2300 YONGE ST, Unit-21","2300 YONGE ST, Unit-21","NA",5615711945,7316176714,o@mjspqwrz.kcu,"NA",6-10 years,11-20 years,5,13,5,37,7,31,Y,N,Y,Y,Thai,N,Average,85,11,22,N,Own,908978,447601,10957,27281,11342,6988,457,187,306,2
72,A & W 4458,Erlene Cormier,Restaurant,"1400 NEILSON RD, Unit-B1","1400 NEILSON RD, Unit-B1","NA",7349765943,8431595732,kbvtaoe@estnmuxy.mzi,"NA",1-5 years,1-5 years,13,19,24,25,29,11,Y,Y,N,N,Mediterranean,Y,Low-end,41,11,20,Y,Lease,3997950,184175,2215991,22693,21443,16752,104,382,446,3
73,A & W RESTAURANT,Ted Cronin,Restaurant,"1115 BLOOR ST W, Unit-4","1115 BLOOR ST W, Unit-4","NA",9326353281,3989158379,w@kyqw.uoa,"NA",Under 1 year,Under 1 year,7,22,21,31,36,36,Y,N,N,N,Others,Y,Average,127,9,17,N,Own,2548973,999263,810541,14014,348,2603,32,474,241,2
74,A + W,Cornelius Cummerata,Restaurant,1277 YORK MILLS RD,1277 YORK MILLS RD,"NA",9871395138,8545814791,fwjx@fa.uyj,"NA",6-10 years,6-10 years,21,21,15,15,21,21,Y,N,Y,N,Mediterranean,N,Average,46,9,19,Y,Lease,714096,546205,3396311,21761,17663,7440,263,168,458,2
75,A I SUSHI,Rosetta Hauck,Restaurant,5085 SHEPPARD AVE E,5085 SHEPPARD AVE E,"NA",3978513647,9242514571,rjosydl@qvnezka.cam,"NA",1-5 years,6-10 years,19,9,3,20,11,14,Y,Y,Y,N,Chinese,N,Low-end,60,9,18,N,Own,3123483,273017,1121078,7713,22587,36508,171,177,358,2
76,A LA TURK,Yesenia McGlynn,Restaurant,3443 YONGE ST,3443 YONGE ST,"NA",7951353257,5968921968,etfq@zayligmnx.usq,"NA",11-20 years,Over 20 years,12,1,10,33,35,11,N,Y,Y,N,Others,N,Low-end,49,10,18,N,Own,4429521,556263,1697729,18477,4264,4149,353,132,319,4
77,A PLUS DELI,Vilma Hoeger,Restaurant,180 DUNCAN MILL RD,180 DUNCAN MILL RD,"NA",5214638574,2796341453,vop@cfktwzrsbx.sxg,"NA",6-10 years,11-20 years,21,24,21,32,28,15,Y,Y,Y,Y,Mexican,Y,Low-end,137,9,22,N,Own,3196786,843507,3085287,27507,455,16703,292,214,100,4
